taxon;taxonid;taxon_group;tax_orig;tax_origid;tax_orig_taal;tax_canon
Cardamine dentata Schult.;TI2025042200002588;VP;Cardamine pratensis L. subsp. palustris (Wimm. et Grab.) Janchen;TX2009083118252800;Sci;Cardamine dentata
Cardamine dentata Schult.;TI2025042200002588;VP;Cardamine pratensis L. subsp. dentata (Schult.) Čelak.;TI2025042200004723;Sci;Cardamine dentata
Cardamine dentata Schult.;TI2025042200002588;VP;Cardamine pratensis L. subsp. paludosa (Knaf.) Čelak.;TI2025042200004724;Sci;Cardamine dentata
Cardamine dentata Schult.;TI2025042200002588;VP;Cardamine palustris (Wimm. et Grab.) Peterm.;INBSYS0000010244;Sci;Cardamine dentata
Cardamine dentata Schult.;TI2025042200002588;VP;getande pinksterbloem;TI2025042200003869;nl;Cardamine dentata
Cardamine flexuosa With.;INBSYS0000013920;VP;Cardamine sylvatica Link;INBSYS0000010245;Sci;Cardamine flexuosa
Cardamine flexuosa With.;INBSYS0000013920;VP;Cardamine hirsuta L. subsp. sylvatica (Link) Syme;TX2009083118252400;Sci;Cardamine flexuosa
Cardamine flexuosa With.;INBSYS0000013920;VP;bosveldkers;TX2009083120313381;nl;Cardamine flexuosa
Cardamine graeca L.;TI2025042200002589;VP;Cardamine graeca L.;TI2025042200002589;Sci;Cardamine graeca
Cardamine heptaphylla (Vill.) O.E. Schulz;INBSYS0000016849;VP;Dentaria heptaphylla Vill.;INBSYS0000016903;Sci;Cardamine heptaphylla
Cardamine heptaphylla (Vill.) O.E. Schulz;INBSYS0000016849;VP;Dentaria pinnata Lam.;INBSYS0000016904;Sci;Cardamine heptaphylla
Cardamine heptaphylla (Vill.) O.E. Schulz;INBSYS0000016849;VP;geveerd tandkruid;TX2009083120375812;nl;Cardamine heptaphylla
Cardamine hirsuta L.;INBSYS0000013921;VP;kleine veldkers;TX2009083120313481;nl;Cardamine hirsuta
Cardamine impatiens L.;INBSYS0000013919;VP;springzaadveldkers;TX2009083120313596;nl;Cardamine impatiens
Cardamine occulta Hornem.;TI2025042200002590;VP;Cardamine hamiltonii G.Don;TI2025042200004722;Sci;Cardamine occulta
Cardamine occulta Hornem.;TI2025042200002590;VP;aziatische veldkers;TI2025042200003561;nl;Cardamine occulta
Cardamine pratensis L.;INBSYS0000013917;VP;pinksterbloem s.s.;TI2025042200004344;nl;Cardamine pratensis
Cardamine pratensis L. subsp. picra De Langhe et D'hose;TX2009083116472434;VP;Cardamine pratensis L. subsp. picra De Langhe et D'hose;TX2009083116472434;Sci;Cardamine pratensis subsp. picra
Cardamine pratensis L. subsp. pratensis;TX2009083116472534;VP;Cardamine pratensis L. subsp. pratensis;TX2009083116472534;Sci;Cardamine pratensis subsp. pratensis
Cardaminopsis;INBSYS0000010232;VP;Cardaminopsis;INBSYS0000010232;Sci;Cardaminopsis
Cardaminopsis halleri (L.) Hayek;INBSYS0000010233;VP;Arabis halleri L.;INBSYS0000010234;Sci;Cardaminopsis halleri
Cardaminopsis halleri (L.) Hayek;INBSYS0000010233;VP;kruipende steenkers;TX2009083120313928;nl;Cardaminopsis halleri
Cardaria;INBSYS0000017245;VP;Cardaria;INBSYS0000017245;Sci;Cardaria
Cardiospermum;INBSYS0000016478;VP;Cardiospermum;INBSYS0000016478;Sci;Cardiospermum
Cardiospermum grandiflorum Sw.;INBSYS0000010247;VP;Cardiospermum grandiflorum Sw.;INBSYS0000010247;Sci;Cardiospermum grandiflorum
Cardiospermum halicacabum L.;INBSYS0000016656;VP;Cardiospermum halicacabum L.;INBSYS0000016656;Sci;Cardiospermum halicacabum
Carduus;INBSYS0000015372;VP;distel (g);TI2025042200003717;nl;Carduus
Carduus acanthoides L.;INBSYS0000010231;VP;langstekelige distel;TX2009083120314028;nl;Carduus acanthoides
Carduus crispus L.;INBSYS0000014770;VP;kruldistel;TX2009083120314143;nl;Carduus crispus
Carduus crispus L. subsp. crispus;TX2009083116473450;VP;Carduus crispus L. subsp. crispus;TX2009083116473450;Sci;Carduus crispus subsp. crispus
Carduus crispus L. subsp. multiflorus (Gaudin) Gremli;TX2009083116473550;VP;Carduus crispus L. subsp. occidentalis Chassagne et Arènes ex Arènes;TX2009083118253315;Sci;Carduus crispus subsp. multiflorus
Carduus nutans L.;INBSYS0000014769;VP;knikkende distel;TX2009083120314259;nl;Carduus nutans
Carduus nutans L. subsp. alpicola (Gillot) Chassagne et Arènes;TX2009083116473765;VP;Carduus nutans L. subsp. alpicola (Gillot) Chassagne et Arènes;TX2009083116473765;Sci;Carduus nutans subsp. alpicola
Carduus nutans L. subsp. leiophyllus (Petrovic) Arènes;TX2009083116473865;VP;Carduus thoermeri Weinm.;INBSYS0000016851;Sci;Carduus nutans subsp. leiophyllus
Carduus nutans L. subsp. leiophyllus (Petrovic) Arènes;TX2009083116473865;VP;Carduus nutans L. subsp. macrolepis (Peterm.) Kazmi;TX2009083118253415;Sci;Carduus nutans subsp. leiophyllus
Carduus nutans L. subsp. nutans;TX2009083116473965;VP;Carduus nutans L. subsp. nutans;TX2009083116473965;Sci;Carduus nutans subsp. nutans
Carduus pycnocephalus L.;INBSYS0000014768;VP;Carduus pycnocephalus L.;INBSYS0000014768;Sci;Carduus pycnocephalus
Carduus tenuiflorus Curt.;INBSYS0000010224;VP;tengere distel;TX2009083120314475;nl;Carduus tenuiflorus
Carex;INBSYS0000013682;VP;zegge (g);TX2009083120324706;nl;Carex
Carex ×boenninghausiana Weihe;TI2025042200002591;VP;pluimzegge x ijle zegge;TX2009083120325915;nl;Carex x boenninghausiana
Carex ×elytroides Fries;TI2025042200002592;VP;scherpe x zwarte zegge;TX2009083120330015;nl;Carex x elytroides
Carex ×prolixa Fries;TI2025042200002593;VP;Carex ×prolixa Fries;TI2025042200002593;Sci;Carex x prolixa
Carex ×timmiana P. Junge;TI2025042200002594;VP;zwarte x drienervige zegge;TI2025042200004695;nl;Carex x timmiana
Carex ×turfosa Fries;TI2025042200002595;VP;Carex ×turfosa Fries;TI2025042200002595;Sci;Carex x turfosa
Carex acuta L.;INBSYS0000013704;VP;Carex gracilis Curt.;INBSYS0000010222;Sci;Carex acuta
Carex acuta L.;INBSYS0000013704;VP;scherpe zegge;TX2009083120314690;nl;Carex acuta
Carex acutiformis Ehrh.;INBSYS0000013692;VP;moeraszegge;TX2009083120314590;nl;Carex acutiformis
Carex acutiformis Ehrh.;INBSYS0000013692;VP;Carex paludosa Good.;INBSYS0000010223;Sci;Carex acutiformis
Carex alba Scop.;INBSYS0000010221;VP;witte zegge;TX2009083120314706;nl;Carex alba
Carex appropinquata C.F. Schumach.;INBSYS0000010220;VP;paardenhaarzegge;TI2025042200004328;nl;Carex appropinquata
Carex appropinquata C.F. Schumach.;INBSYS0000010220;VP;Carex paradoxa Willd. non J.F. Gmel.;INBSYS0000010219;Sci;Carex appropinquata
Carex arenaria L.;INBSYS0000016780;VP;zandzegge;TX2009083120314921;nl;Carex arenaria
Carex binervis Smith;INBSYS0000013687;VP;tweenervige zegge;TX2009083120315037;nl;Carex binervis
Carex bohemica Schreb.;INBSYS0000010217;VP;cyperzegge;TX2009083120315137;nl;Carex bohemica
Carex bohemica Schreb.;INBSYS0000010217;VP;Carex cyperoides Murray;INBSYS0000010218;Sci;Carex bohemica
Carex brizoides L.;INBSYS0000010216;VP;trilgraszegge;TX2009083120315253;nl;Carex brizoides
Carex canescens L.;TX2009083116475696;VP;zompzegge;TX2009083120315584;nl;Carex canescens
Carex canescens L.;TX2009083116475696;VP;Carex curta Good.;INBSYS0000010209;Sci;Carex canescens
Carex caryophyllea Latourr.;INBSYS0000016852;VP;Carex praecox Jacq. non Schreb.;INBSYS0000010215;Sci;Carex caryophyllea
Carex caryophyllea Latourr.;INBSYS0000016852;VP;voorjaarszegge;TX2009083120315368;nl;Carex caryophyllea
Carex crawfordii Fernald;INBSYS0000016853;VP;Carex crawfordii Fernald;INBSYS0000016853;Sci;Carex crawfordii
Carex crus-corvi Shuttlw.;INBSYS0000010214;VP;Carex crus-corvi Shuttlw.;INBSYS0000010214;Sci;Carex crus-corvi
Carex davalliana Smith;INBSYS0000013715;VP;veenzegge;TX2009083120315684;nl;Carex davalliana
Carex demissa Hornem.;TI2025042200002596;VP;geelgroene zegge;TX2009083120322850;nl;Carex demissa
Carex demissa Hornem.;TI2025042200002596;VP;Carex viridula Michaux subsp. oedocarpa (Anderss.) B. Schmid;TX2009083118261293;Sci;Carex demissa
Carex demissa Hornem.;TI2025042200002596;VP;Carex tumidicarpa Anderss.;INBSYS0000015990;Sci;Carex demissa
Carex depauperata Curt. ex With.;INBSYS0000010207;VP;armoedige zegge;TX2009083120315800;nl;Carex depauperata
Carex diandra Schrank;INBSYS0000013708;VP;ronde zegge;TX2009083120315915;nl;Carex diandra
Carex diandra Schrank;INBSYS0000013708;VP;Carex teretiuscula Good.;INBSYS0000010206;Sci;Carex diandra
Carex digitata L.;INBSYS0000013701;VP;vingerzegge;TX2009083120320031;nl;Carex digitata
Carex dioica L.;INBSYS0000016854;VP;tweehuizige zegge;TX2009083120320246;nl;Carex dioica
Carex distans L.;INBSYS0000013684;VP;zilte zegge;TX2009083120320346;nl;Carex distans
Carex disticha Huds.;INBSYS0000016855;VP;tweerijige zegge;TX2009083120320462;nl;Carex disticha
Carex disticha Huds.;INBSYS0000016855;VP;Carex intermedia Good.;INBSYS0000010205;Sci;Carex disticha
Carex divisa Huds.;INBSYS0000016856;VP;kustzegge;TX2009083120320562;nl;Carex divisa
Carex divulsa Stokes;INBSYS0000015024;VP;groene bermzegge (bleke en ijle bermzegge);TX2009083120320131;nl;Carex divulsa
Carex divulsa Stokes subsp. divulsa;TX2009083116475912;VP;ijle bermzegge;TX2009083120315700;nl;Carex divulsa subsp. divulsa
Carex divulsa Stokes var. polycarpa Vollm.;TX2009083116475796;VP;Carex divulsa Stokes var. polycarpa Vollm.;TX2009083116475796;Sci;Carex divulsa var. polycarpa
Carex echinata Murray;INBSYS0000013713;VP;Carex stellulata Good.;INBSYS0000010198;Sci;Carex echinata
Carex echinata Murray;INBSYS0000013713;VP;sterzegge;TX2009083120320778;nl;Carex echinata
Carex elata All.;INBSYS0000013703;VP;stijve zegge;TX2009083120320893;nl;Carex elata
Carex elata All.;INBSYS0000013703;VP;Carex stricta Good. non Lam.;INBSYS0000010196;Sci;Carex elata
Carex elata All.;INBSYS0000013703;VP;Carex hudsonii Ar. Benn.;INBSYS0000010197;Sci;Carex elata
Carex elongata L.;INBSYS0000013712;VP;elzenzegge;TX2009083120320993;nl;Carex elongata
Carex ericetorum Pollich;INBSYS0000013699;VP;heidezegge;TX2009083120321009;nl;Carex ericetorum
Carex extensa Good.;INBSYS0000010195;VP;kwelderzegge;TX2009083120321109;nl;Carex extensa
Carex flacca Schreb.;INBSYS0000016857;VP;zeegroene zegge;TX2009083120321325;nl;Carex flacca
Carex flacca Schreb.;INBSYS0000016857;VP;Carex glauca Scop.;INBSYS0000015986;Sci;Carex flacca
Carex flava L.;INBSYS0000013688;VP;gele zegge;TX2009083120321225;nl;Carex flava
Carex flava L. sensu lato;INBSYS0000010194;VP;Carex flava L. sensu lato;INBSYS0000010194;Sci;Carex flava groep
Carex grayi J.Carey;TI2025042200002597;VP;morgensterzegge;TI2025042200004266;nl;Carex grayi
Carex halleriana Asso;INBSYS0000010193;VP;laagbloeiende zegge;TX2009083120321440;nl;Carex halleriana
Carex halleriana Asso;INBSYS0000010193;VP;Carex gynobasis Vill.;INBSYS0000010191;Sci;Carex halleriana
Carex halleriana Asso;INBSYS0000010193;VP;Carex alpestris All.;INBSYS0000010192;Sci;Carex halleriana
Carex hirta L.;INBSYS0000013696;VP;ruige zegge;TX2009083120321540;nl;Carex hirta
Carex hordeistichos Vill.;INBSYS0000010190;VP;gerstzegge;TX2009083120321656;nl;Carex hordeistichos
Carex hostiana DC.;INBSYS0000013686;VP;blonde zegge;TX2009083120321756;nl;Carex hostiana
Carex hostiana DC.;INBSYS0000013686;VP;Carex fulva auct. non Good.;INBSYS0000010189;Sci;Carex hostiana
Carex hostiana DC.;INBSYS0000013686;VP;Carex hornschuchiana Hoppe;INBSYS0000015987;Sci;Carex hostiana
Carex humilis Leyss.;INBSYS0000016858;VP;aardzegge;TX2009083120321871;nl;Carex humilis
Carex laevigata Smith;INBSYS0000013683;VP;gladde zegge;TX2009083120321971;nl;Carex laevigata
Carex laevigata Smith;INBSYS0000013683;VP;Carex helodes auct. non Link;INBSYS0000010188;Sci;Carex laevigata
Carex lasiocarpa Ehrh.;INBSYS0000013697;VP;Carex filiformis auct. non L.;INBSYS0000010187;Sci;Carex lasiocarpa
Carex lasiocarpa Ehrh.;INBSYS0000013697;VP;draadzegge;TX2009083120322087;nl;Carex lasiocarpa
Carex leersii F.W. Schultz;TI2025042200002598;VP;bleke bermzegge;TX2009083120320678;nl;Carex leersii
Carex leersii F.W. Schultz;TI2025042200002598;VP;Carex divulsa Stokes subsp. chabertii (F.W. Schultz) Aschers. et Graebn.;TX2009083118255162;Sci;Carex leersii
Carex leersii F.W. Schultz;TI2025042200002598;VP;Carex divulsa Stokes subsp. leersii (Kneucker) W. Koch;TX2009083116480828;Sci;Carex leersii
Carex leersii F.W. Schultz;TI2025042200002598;VP;Carex chabertii F.W. Schultz;INBSYS0000010201;Sci;Carex leersii
Carex leersii F.W. Schultz;TI2025042200002598;VP;Carex guestphalica (Boenn. ex Reichenb.) Boenn. ex O.F. Lang;INBSYS0000010202;Sci;Carex leersii
Carex leersii F.W. Schultz;TI2025042200002598;VP;Carex polyphylla Kar. et Kir.;INBSYS0000010203;Sci;Carex leersii
Carex leersii F.W. Schultz;TI2025042200002598;VP;Carex leersiana Rauschert;INBSYS0000017284;Sci;Carex leersii
Carex lepidocarpa Tausch;INBSYS0000015988;VP;Carex viridula Michaux subsp. brachyrrhyncha (Čelak.) B. Schmid  var. elatior (Schlecht.) Crins;TI2025042200004727;Sci;Carex lepidocarpa
Carex lepidocarpa Tausch;INBSYS0000015988;VP;Carex viridula Michaux subsp. brachyrrhyncha (Čelak.) B. Schmid  var. lepidocarpa (Tausch) B. Schmid;TI2025042200004728;Sci;Carex lepidocarpa
Carex lepidocarpa Tausch;INBSYS0000015988;VP;schubzegge;TX2009083120322187;nl;Carex lepidocarpa
Carex limosa L.;INBSYS0000013695;VP;slijkzegge;TX2009083120322203;nl;Carex limosa
Carex mairei Coss. et Germ.;INBSYS0000010184;VP;maires zegge;TX2009083120322303;nl;Carex mairei
Carex melanostachya Bieb. ex Willd.;TI2025042200002599;VP;Carex melanostachya Bieb. ex Willd.;TI2025042200002599;Sci;Carex melanostachya
Carex montana L.;INBSYS0000013700;VP;bergzegge;TX2009083120322418;nl;Carex montana
Carex morrowii Boott;TI2025042200002600;VP;Carex morrowii Boott;TI2025042200002600;Sci;Carex morrowii
Carex muricata L. subsp. lamprocarpa Čelak.;TI2025042200002601;VP;Carex muricata L. subsp. lamprocarpa Čelak.;TI2025042200002601;Sci;Carex muricata subsp. lamprocarpa
Carex muskingumensis Schwein.;TI2025042200002602;VP;Carex muskingumensis Schwein.;TI2025042200002602;Sci;Carex muskingumensis
Carex nigra (L.) Reichard;INBSYS0000013705;VP;Carex vulgaris Fries;INBSYS0000010180;Sci;Carex nigra
Carex nigra (L.) Reichard;INBSYS0000013705;VP;Carex goodenoughii Aschers.;INBSYS0000010181;Sci;Carex nigra
Carex nigra (L.) Reichard;INBSYS0000013705;VP;Carex goodenowii J. Gay;INBSYS0000010182;Sci;Carex nigra
Carex nigra (L.) Reichard;INBSYS0000013705;VP;zwarte zegge;TX2009083120322634;nl;Carex nigra
Carex oederi Retz.;INBSYS0000017285;VP;geelgroene en dwergzegge;TX2009083120322750;nl;Carex oederi
Carex ornithopoda Willd.;INBSYS0000013702;VP;vogelpootzegge;TX2009083120323065;nl;Carex ornithopoda
Carex otrubae Podp.;INBSYS0000013709;VP;valse voszegge;TX2009083120315468;nl;Carex otrubae
Carex otrubae Podp.;INBSYS0000013709;VP;Carex vulpina L. subsp. nemorosa (Koch) Schinz et Thell.;TX2009083118254431;Sci;Carex otrubae
Carex otrubae Podp.;INBSYS0000013709;VP;Carex subvulpina Senay;INBSYS0000010211;Sci;Carex otrubae
Carex otrubae Podp.;INBSYS0000013709;VP;Carex nemorosa Rebent. non Schrank;INBSYS0000010212;Sci;Carex otrubae
Carex otrubae Podp.;INBSYS0000013709;VP;Carex cuprina (Sándor ex Heuffel) Nendtvich ex A. Kerner;INBSYS0000010213;Sci;Carex otrubae
Carex ovalis Good.;INBSYS0000010172;VP;hazenzegge;TI2025042200004014;nl;Carex ovalis
Carex ovalis Good.;INBSYS0000010172;VP;Carex leporina L.;TI2025042200004725;Sci;Carex ovalis
Carex ovalis Good. var. argyroglochin (Hornem.) De Langhe et Lambinon;TX2009083116483175;VP;Carex leporina auct. non L. var. argyroglochin (Hornem.) Koch;TX2009083118260993;Sci;Carex ovalis var. argyroglochin
Carex ovalis Good. var. argyroglochin (Hornem.) De Langhe et Lambinon;TX2009083116483175;VP;Carex argyroglochin Hornem.;INBSYS0000010179;Sci;Carex ovalis var. argyroglochin
Carex pairae F.W. Schultz;TI2025042200002603;VP;Carex muricata L.;INBSYS0000015213;Sci;Carex pairae
Carex pairae F.W. Schultz;TI2025042200002603;VP;paira's bermzegge;TI2025042200004332;nl;Carex pairae
Carex pallescens L.;INBSYS0000013693;VP;bleke zegge;TX2009083120323396;nl;Carex pallescens
Carex panicea L.;INBSYS0000013694;VP;blauwe zegge;TX2009083120323496;nl;Carex panicea
Carex paniculata L.;INBSYS0000013707;VP;pluimzegge;TX2009083120323281;nl;Carex paniculata
Carex pauciflora Lightf.;INBSYS0000016859;VP;armbloemige zegge;TX2009083120323512;nl;Carex pauciflora
Carex pendula Huds.;INBSYS0000016860;VP;hangende zegge;TX2009083120323612;nl;Carex pendula
Carex pendula Huds.;INBSYS0000016860;VP;Carex maxima Scop.;INBSYS0000010170;Sci;Carex pendula
Carex pendula Huds. subsp. pendula;TI2025042200002604;VP;Carex pendula Huds. subsp. pendula;TI2025042200002604;Sci;Carex pendula subsp. pendula
Carex pendula L. subsp. agastachys (L.f.) Ljungstrand;TI2025042200002605;VP;Carex pendula L. subsp. agastachys (L.f.) Ljungstrand;TI2025042200002605;Sci;Carex pendula
Carex pilosa Scop.;INBSYS0000022333;VP;gewimperde zegge;TX2009083120323828;nl;Carex pilosa
Carex pilulifera L.;INBSYS0000013698;VP;pilzegge;TX2009083120323728;nl;Carex pilulifera
Carex praecox Schreb.;INBSYS0000010168;VP;vroege zegge;TX2009083120323943;nl;Carex praecox
Carex praecox Schreb. subsp. intermedia (Čelak.) Schultze-Motel;TI2025042200002606;VP;Carex praecox Schreb. subsp. intermedia (Čelak.) Schultze-Motel;TI2025042200002606;Sci;Carex praecox subsp. intermedia
Carex pseudocyperus L.;INBSYS0000013689;VP;hoge cyperzegge;TX2009083120324043;nl;Carex pseudocyperus
Carex pulicaris L.;INBSYS0000013714;VP;vlozegge;TX2009083120324159;nl;Carex pulicaris
Carex punctata Gaudin;INBSYS0000013685;VP;stippelzegge;TX2009083120324259;nl;Carex punctata
Carex reichenbachii Bonnet;INBSYS0000010167;VP;valse zandzegge;TX2009083120324375;nl;Carex reichenbachii
Carex reichenbachii Bonnet;INBSYS0000010167;VP;Carex pseudobrizoides Clavaud;TI2025042200004726;Sci;Carex reichenbachii
Carex remota Jusl. ex L.;INBSYS0000010166;VP;ijle zegge;TX2009083120324475;nl;Carex remota
Carex riparia Curt.;INBSYS0000010165;VP;oeverzegge;TX2009083120324590;nl;Carex riparia
Carex rostrata Stokes;INBSYS0000013690;VP;snavelzegge;TX2009083120324690;nl;Carex rostrata
Carex rostrata Stokes;INBSYS0000013690;VP;Carex ampullacea Good.;INBSYS0000010164;Sci;Carex rostrata
Carex scoparia Schkuhr ex Willd.;TI2025042200002607;VP;Carex scoparia Schkuhr ex Willd.;TI2025042200002607;Sci;Carex scoparia
Carex secalina Willd. ex Wahlenb.;TI2025042200002608;VP;Carex secalina Willd. ex Wahlenb.;TI2025042200002608;Sci;Carex secalina
Carex spicata Huds.;INBSYS0000016862;VP;Carex muricata auct. non L.;INBSYS0000010163;Sci;Carex spicata
Carex spicata Huds.;INBSYS0000016862;VP;Carex contigua Hoppe;INBSYS0000015985;Sci;Carex spicata
Carex spicata Huds.;INBSYS0000016862;VP;gewone bermzegge;TX2009083120324821;nl;Carex spicata
Carex strigosa Huds.;INBSYS0000016863;VP;slanke zegge;TX2009083120324921;nl;Carex strigosa
Carex supina Wahlenb.;TI2025042200002609;VP;Carex supina Wahlenb.;TI2025042200002609;Sci;Carex supina
Carex sylvatica Huds.;INBSYS0000016864;VP;boszegge;TX2009083120325021;nl;Carex sylvatica
Carex tomentosa L.;INBSYS0000015989;VP;viltzegge;TX2009083120325137;nl;Carex tomentosa
Carex trinervis Degl.;INBSYS0000013706;VP;drienervige zegge;TX2009083120325237;nl;Carex trinervis
Carex umbrosa Host;INBSYS0000010161;VP;schaduwzegge;TX2009083120325353;nl;Carex umbrosa
Carex umbrosa Host;INBSYS0000010161;VP;Carex polyrrhiza Wallr.;INBSYS0000010160;Sci;Carex umbrosa
Carex vesicaria L.;INBSYS0000013691;VP;blaaszegge;TX2009083120325568;nl;Carex vesicaria
Carex viridula Michaux;INBSYS0000016774;VP;dwergzegge;TX2009083120325684;nl;Carex viridula
Carex viridula Michaux var. pulchella (Lönnr.) B. Schmid;TX2009083116483475;VP;dwergzegge var. pulchella;TX2009083120322965;nl;Carex viridula var. pulchella
Carex viridula Michaux var. pulchella (Lönnr.) B. Schmid;TX2009083116483475;VP;Carex serotina Mérat subsp. pulchella (Lönnr.) v. Ooststr.;TX2009083118261509;Sci;Carex viridula var. pulchella
Carex viridula Michaux var. pulchella (Lönnr.) B. Schmid;TX2009083116483475;VP;Carex pulchella (Lönnr.) Lindm. non S. Berggren;INBSYS0000010174;Sci;Carex viridula var. pulchella
Carex viridula Michaux var. pulchella (Lönnr.) B. Schmid;TX2009083116483475;VP;Carex scandinavica E.W. Davies;INBSYS0000016861;Sci;Carex viridula var. pulchella
Carex viridula Michaux var. viridula;TX2009083116490121;VP;Carex serotina Mérat;INBSYS0000017286;Sci;Carex viridula var. viridula
Carex viridula Michaux var. viridula;TX2009083116490121;VP;Carex oederi auct. non Retz.;INBSYS0000010158;Sci;Carex viridula var. viridula
Carex viridula Michaux var. viridula;TX2009083116490121;VP;dwergzegge var. viridula;TX2009083120325468;nl;Carex viridula var. viridula
Carex viridula s.l.;INBSYS0000010157;VP;dwergzegge groep;TX2009083120325784;nl;Carex viridula groep
Carex vulpina L.;INBSYS0000013710;VP;voszegge;TX2009083120325800;nl;Carex vulpina
Carex vulpinoidea Michx.;TI2025042200002610;VP;Carex vulpinoidea Michx.;TI2025042200002610;Sci;Carex vulpinoidea
Carlina;INBSYS0000015373;VP;driedistel (g);TX2009083120330131;nl;Carlina
Carlina vulgaris L.;INBSYS0000014764;VP;driedistel;TX2009083120330231;nl;Carlina vulgaris
Carpinus;INBSYS0000015374;VP;haagbeuk (g);TX2009083120330446;nl;Carpinus
Carpinus betulus L.;INBSYS0000014415;VP;haagbeuk;TX2009083120330346;nl;Carpinus betulus
Carpobrotus edulis (L.) N.E.Br.;TI2025042200002611;VP;hottentotvijg;TI2025042200004040;nl;Carpobrotus edulis
Carthamus;INBSYS0000015375;VP;saffloer (g);TX2009083120330662;nl;Carthamus
Carthamus lanatus L.;INBSYS0000014959;VP;wollige saffloer;TX2009083120330562;nl;Carthamus lanatus
Carthamus leucocaulos Sibth. & Sm.;INBSYS0000010155;VP;Carthamus leucocaulos Sibth. & Sm.;INBSYS0000010155;Sci;Carthamus leucocaulos
Carthamus tinctorius L.;INBSYS0000015021;VP;saffloer;TX2009083120330778;nl;Carthamus tinctorius
Carum;INBSYS0000015376;VP;karwij (g);TX2009083120330993;nl;Carum
Carum carvi L.;INBSYS0000014333;VP;echte karwij;TX2009083120330878;nl;Carum carvi
Caryopteris;INBSYS0000016479;VP;Caryopteris;INBSYS0000016479;Sci;Caryopteris
Caryopteris x clandonensis Rehd.;TI2025042200002612;VP;Caryopteris x clandonensis Rehd.;TI2025042200002612;Sci;Caryopteris x clandonensis
Cassia;INBSYS0000015377;VP;Cassia;INBSYS0000015377;Sci;Cassia
Cassia occidentalis (L.) Link;INBSYS0000008500;VP;Cassia occidentalis (L.) Link;INBSYS0000008500;Sci;Cassia occidentalis
Castanea;INBSYS0000015378;VP;kastanje (g);TX2009083120331209;nl;Castanea
Castanea sativa Mill.;INBSYS0000016866;VP;tamme kastanje;TX2009083120331109;nl;Castanea sativa
Catabrosa;INBSYS0000015379;VP;watergras (g);TX2009083120331425;nl;Catabrosa
Catabrosa aquatica (L.) Beauv.;INBSYS0000010151;VP;watergras;TX2009083120331325;nl;Catabrosa aquatica
Catalpa;INBSYS0000022643;VP;Catalpa;INBSYS0000022643;Sci;Catalpa
Catalpa bignonioides Walter;INBSYS0000016657;VP;trompetboom;TX2009083120331540;nl;Catalpa bignonioides
Catalpa ovata G.Don;TI2025042200002613;VP;Catalpa ovata G.Don;TI2025042200002613;Sci;Catalpa ovata
Catananche;INBSYS0000017246;VP;Catananche;INBSYS0000017246;Sci;Catananche
Catananche caerulea L.;INBSYS0000017287;VP;Catananche caerulea L.;INBSYS0000017287;Sci;Catananche caerulea
Catapodium;INBSYS0000015381;VP;hardgras (g);TX2009083120380775;nl;Catapodium
Catapodium marinum (L.) C.E. Hubbard;INBSYS0000009930;VP;laksteeltje;TX2009083120380559;nl;Catapodium marinum
Catapodium marinum (L.) C.E. Hubbard;INBSYS0000009930;VP;Scleropoa loliacea (Huds.) Gren. et Godr.;INBSYS0000009931;Sci;Catapodium marinum
Catapodium marinum (L.) C.E. Hubbard;INBSYS0000009930;VP;Catapodium loliaceum (Huds.) Link;INBSYS0000009932;Sci;Catapodium marinum
Catapodium marinum (L.) C.E. Hubbard;INBSYS0000009930;VP;Desmazeria marina (L.) Druce;INBSYS0000016034;Sci;Catapodium marinum
Catapodium rigidum (L.) C.E. Hubbard;INBSYS0000009929;VP;Desmazeria rigida (L.) Tutin;INBSYS0000016906;Sci;Catapodium rigidum
Catapodium rigidum (L.) C.E. Hubbard;INBSYS0000009929;VP;Sclerochloa rigida (L.) Link;INBSYS0000016214;Sci;Catapodium rigidum
Catapodium rigidum (L.) C.E. Hubbard;INBSYS0000009929;VP;Scleropoa rigida (L.) Griseb.;INBSYS0000016215;Sci;Catapodium rigidum
Catapodium rigidum (L.) C.E. Hubbard;INBSYS0000009929;VP;stijf hardgras;TX2009083120380675;nl;Catapodium rigidum
Catapyrenium;TX2009083118023771;LI;Catapyrenium;TX2009083118023771;Sci;Catapyrenium
Catapyrenium lachneum (Ach.) R. Sant.;TX2009083118023571;LI;Catapyrenium lachneum (Ach.) R. Sant.;TX2009083118023571;Sci;Catapyrenium lachneum
Catapyrenium rufescens (Ach.) Breuss;INBSYS0000058051;LI;Catapyrenium rufescens (Ach.) Breuss;INBSYS0000058051;Sci;Catapyrenium rufescens
Catapyrenium squamulosum (Ach.) Breuss;INBSYS0000058052;LI;tufkrijtkorst;TI2025042200004550;nl;Catapyrenium squamulosum
Catillaria;TX2009083118024487;LI;rookkorst;TI2025042200004404;nl;Catillaria
Catillaria atomarioides (Müll. Arg.) H. Kilias;INBSYS0000058333;LI;granietrookkorst;TI2025042200003932;nl;Catillaria atomarioides
Catillaria chalybeia (Borrer) A. Massal.;INBSYS0000058335;LI;donkere rookkorst;TI2025042200003730;nl;Catillaria chalybeia
Catillaria lenticularis (Ach.) Th. Fr.;INBSYS0000058338;LI;lichte rookkorst;TI2025042200004221;nl;Catillaria lenticularis
